i_episode,score,time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
57,233.691603435,0.5400000000000001,0.0739051473957,1.00273873086,0.0,0.00988892886009,1.37193132216,0.01,-1.31511941401,0.0162731433361,-3.72670621073,-0.000610416656466,28.8082851998,0.0,-0.00227305674635,899.994865558,900.004685008,899.998888704
58,234.057405784,0.48000000000000015,0.120890434041,1.00124532598,0.0,0.0098529052356,5.97408268575,0.01,-0.864736856587,-0.00419176446081,-5.20401511987,-0.000709165218224,28.7670787415,0.0,-0.000405653972046,899.936597123,900.000306001,899.998762312
59,234.016818833,0.6000000000000002,0.0687417028404,1.00722787563,0.0,0.00999460382258,2.80576093085,0.01,-2.68290668978,0.0194552286869,-4.00093598846,-0.000504598678363,28.7450963562,0.0,-0.00213854291894,895.749761331,900.001601252,899.9955307
60,233.786762348,0.48000000000000015,0.149301777176,0.999189113992,0.0,0.00999216284069,6.16728433953,0.01,-0.687315320233,-0.00657368858245,-5.44222955457,-0.000367852349487,28.7703394402,0.0,-0.000686647795633,899.955071633,900.002203694,899.995883955
61,234.431502222,0.4200000000000001,0.28246508398,0.998483327676,0.0,0.00994796780322,4.5108774284,0.01,-2.23633604647,-0.0164258310725,-5.82286782231,-0.000388796791441,28.67781241,0.0,-0.00382269454718,899.125571168,900.001439692,899.99751932
62,233.546970862,0.5400000000000001,0.0641323096134,1.00199700303,0.0,0.00997729536399,1.37486729594,0.01,-1.34681065882,0.0145013022727,-3.91846535104,-0.000170842599136,28.8050438083,0.0,0.000262207721559,899.975462605,899.999323726,899.997115683
63,234.875635086,0.6600000000000003,0.200979031429,1.01128889181,0.0,0.00975922808907,3.97404457925,0.01,-2.36741806849,0.0110974399939,-5.4338143234,-0.000930147257057,28.772288992,0.0,0.00115649846346,897.170091635,900.00332959,899.998421431
64,235.618240667,0.7200000000000003,0.520247716212,1.01358475097,0.0,0.00966446555734,5.71584101161,0.01,0.240812684083,0.0116006025241,-6.00690514439,-0.000732155052382,28.8200969421,0.0,0.00297348571925,899.742136013,899.996500976,899.996908737
65,235.813367531,0.7200000000000003,0.54632312856,1.01355235524,0.0,0.00987505785286,5.51715222311,0.01,0.0162529148651,0.00956768430725,-6.19260256147,-0.000208381774446,28.8108102035,0.0,-0.0028128909484,899.591457566,900.000174066,900.00034541
66,236.107741519,0.7200000000000003,0.690494443594,1.01311909302,0.0,0.0100571914061,5.55149186315,0.01,0.411468818607,0.00815500082601,-6.31617561299,0.000246516571331,28.7745151938,0.0,0.0010766848159,899.279297845,899.999528195,899.99915112
67,236.28202042,0.7800000000000004,0.752674995361,1.017539931,0.0,0.00986347294727,4.40296145982,0.01,-1.27800601922,0.0293375602232,-4.76200720929,-0.000319051601605,27.0261445852,0.0,-0.00191412308592,897.967083309,899.998889531,899.999560483
68,238.031796012,0.7200000000000003,1.71904159729,1.01455947191,0.0,0.00986744831081,5.40119219366,0.01,2.39811181158,0.0177997068213,-5.34739280019,-0.000464651350169,28.6583506527,0.0,0.00326643176805,899.82573554,900.000600849,899.99889653
